date,pce,pop,  psavert  ,uempmed,unemploy
1/1/08,9963.2,303506,$3.40 ,900.00%,7685
2/1/08,9955.7,303711,$3.90 ,870.00%,7497
3/1/08,10004.2,303907,$4.00 ,870.00%,7822
4/1/08,10044.6,304117,$3.50 ,940.00%,7637
5/1/08,10093.3,304323,$7.90 ,790.00%,8395
6/1/08,10149.4,304556,$5.60 ,900.00%,8575
7/1/08,10151.1,304798,$4.40 ,970.00%,8937
8/1/08,10140.3,305045,$3.70 ,970.00%,9438
9/1/08,10083.2,305309,$4.40 ,1020.00%,9494
10/1/08,9983.3,305554,$5.40 ,1040.00%,10074
11/1/08,9851.2,305786,$6.30 ,980.00%,10538
12/1/08,9744.2,306004,$6.50 ,1050.00%,11286
1/1/09,9792.1,306208,$6.50 ,1070.00%,12058
2/1/09,9775.7,306402,$5.90 ,1170.00%,12898
3/1/09,9742.9,306588,$6.10 ,1230.00%,13426
4/1/09,9741.9,306787,$6.70 ,1310.00%,13853
5/1/09,9759.7,306984,$8.10 ,1420.00%,14499
6/1/09,9807.6,307206,$6.70 ,1720.00%,14707
7/1/09,9835.2,307439,$6.00 ,1600.00%,14601
8/1/09,9961.9,307685,$4.90 ,1630.00%,14814
9/1/09,9875.4,307946,$5.90 ,1780.00%,15009
10/1/09,9924.6,308189,$5.40 ,1890.00%,15352
11/1/09,9946.1,308418,$5.70 ,1980.00%,15219
12/1/09,10000.6,308633,$5.70 ,2010.00%,15098
1/1/10,10003.4,308833,$5.60 ,2000.00%,15046
2/1/10,10034.7,309027,$5.20 ,1990.00%,15113
3/1/10,10095.5,309212,$5.00 ,2040.00%,15202
4/1/10,10106.9,309191,$5.60 ,2210.00%,15325
5/1/10,10140.2,309376,$6.00 ,2230.00%,14849
6/1/10,10165.9,309562,$5.90 ,2520.00%,14474
7/1/10,10184.3,309767,$5.90 ,2230.00%,14512
8/1/10,10247.1,309989,$5.80 ,2100.00%,14648
9/1/10,10268.9,310218,$5.60 ,2030.00%,14579
10/1/10,10343.7,310451,$5.40 ,2120.00%,14516
11/1/10,10399.8,310657,$5.30 ,2100.00%,15081
12/1/10,10436.1,310853,$5.90 ,2190.00%,14348
1/1/11,10474.7,311042,$6.20 ,2160.00%,14046
2/1/11,10512.4,311205,$6.40 ,2110.00%,13828
3/1/11,10583.5,311367,$6.00 ,2150.00%,13728
4/1/11,10624.6,311548,$5.90 ,2090.00%,13956
5/1/11,10653.1,311729,$5.90 ,2160.00%,13853
6/1/11,10676.4,311923,$6.10 ,2230.00%,13958
7/1/11,10727.1,312139,$6.30 ,2200.00%,13756
8/1/11,10745.6,312355,$6.20 ,2240.00%,13806
9/1/11,10790.6,312587,$5.70 ,2200.00%,13929
10/1/11,10827.6,312810,$5.50 ,2050.00%,13599
11/1/11,10828.7,313003,$5.60 ,2090.00%,13309
12/1/11,10827.3,313191,$6.40 ,2050.00%,13071
1/1/12,10905.5,313373,$6.60 ,2100.00%,12812
2/1/12,10979.2,313537,$6.70 ,1980.00%,12828
3/1/12,10994.3,313705,$6.90 ,1920.00%,12696
4/1/12,11030.2,313881,$7.00 ,1910.00%,12636
5/1/12,11029,314052,$7.00 ,1990.00%,12668
6/1/12,11032.5,314247,$7.10 ,2010.00%,12688
7/1/12,11074.8,314449,$6.60 ,1750.00%,12657
8/1/12,11104.8,314673,$6.40 ,1850.00%,12449
9/1/12,11179.6,314909,$6.50 ,1880.00%,12106
10/1/12,11199.9,315129,$7.10 ,1970.00%,12141
11/1/12,11222.8,315341,$8.20 ,1850.00%,12026
12/1/12,11245.2,315532,$10.50 ,1760.00%,12272
1/1/13,11303.2,315701,$4.50 ,1620.00%,12497
2/1/13,11371.4,315869,$4.70 ,1750.00%,11967
3/1/13,11378.8,316041,$4.90 ,1770.00%,11653
4/1/13,11373.3,316220,$5.10 ,1710.00%,11735
5/1/13,11407.1,316395,$5.20 ,1700.00%,11671
6/1/13,11462.4,316594,$5.30 ,1660.00%,11736
7/1/13,11484.7,316799,$5.10 ,1630.00%,11357
8/1/13,11511.6,317019,$5.30 ,1680.00%,11241
9/1/13,11559.6,317253,$5.20 ,1650.00%,11251
10/1/13,11602.1,317470,$4.70 ,1610.00%,11161
11/1/13,11671.5,317679,$4.30 ,1700.00%,10814
12/1/13,11686.3,317867,$4.10 ,1700.00%,10376
1/1/14,11663.9,318032,$4.90 ,1590.00%,10280
2/1/14,11714.4,318200,$5.00 ,1620.00%,10387
3/1/14,11807.1,318373,$4.80 ,1590.00%,10384
4/1/14,11825.2,318552,$5.00 ,1560.00%,9696
5/1/14,11864.3,318728,$5.10 ,1450.00%,9761
6/1/14,11922.6,318927,$5.10 ,1320.00%,9453
7/1/14,11944.4,319133,$5.10 ,1350.00%,9648
8/1/14,12017,319354,$4.70 ,1330.00%,9568
9/1/14,12044.6,319588,$4.60 ,1330.00%,9237
10/1/14,12096.4,319804,$4.60 ,1350.00%,8983
11/1/14,12142.2,320013,$4.50 ,1280.00%,9071
12/1/14,12122,320201,$5.00 ,1260.00%,8688
1/1/15,12080.8,320367,$5.50 ,1340.00%,8979
2/1/15,12095.9,320534,$5.70 ,1310.00%,8705
3/1/15,12161.5,320707,$5.20 ,1220.00%,8575
4/1/15,12158.9,320887,$5.60 ,1170.00%,8549
