Id,sex,age,sibsp,parch,ticket,fare,cabin,embarked
629,female,11,4,2,347082,31.275,,S
630,male,39,1,5,347082,31.275,,S
631,male,27,0,0,350043,7.7958,,S
632,male,26,0,0,347075,7.775,,S
633,female,39,1,5,347082,31.275,,S
634,male,20,0,0,347466,7.8542,,S
635,male,26,0,0,349202,7.8958,,S
636,male,25,1,0,349237,17.8,,S
637,female,18,1,0,349237,17.8,,S
638,male,24,0,0,349911,7.775,,S
639,male,35,0,0,SOTON/O.Q. 3101310,7.05,,S
640,male,5,4,2,347077,31.3875,,S
641,male,9,4,2,347077,31.3875,,S
642,male,3,4,2,347077,31.3875,,S
643,male,13,4,2,347077,31.3875,,S
644,female,5,4,2,347077,31.3875,,S
645,male,40,1,5,347077,31.3875,,S
646,male,23,0,0,350054,7.7958,,S
647,female,38,1,5,347077,31.3875,,S
648,female,45,0,0,2696,7.225,,C
649,male,21,0,0,2692,7.225,,C
650,male,23,0,0,SOTON/O.Q. 3101309,7.05,,S
651,female,17,0,0,2627,14.4583,,C
652,male,30,0,0,2694,7.225,,C
653,male,23,0,0,347468,7.8542,,S
654,female,13,0,0,2687,7.2292,,C
655,male,20,0,0,2679,7.225,,C
656,male,32,1,0,3101278,15.85,,S
657,female,33,3,0,3101278,15.85,,S
658,female,0.75,2,1,2666,19.2583,,C
659,female,0.75,2,1,2666,19.2583,,C
660,female,5,2,1,2666,19.2583,,C
661,female,24,0,3,2666,19.2583,,C
662,female,18,0,0,A/4 31416,8.05,,S
663,male,40,0,0,2623,7.225,,C
664,male,26,0,0,349248,7.8958,,S
665,male,20,0,0,2663,7.2292,,C
666,female,18,0,1,2691,14.4542,,C
667,female,45,0,1,2691,14.4542,,C
668,female,27,0,0,330844,7.8792,,Q
669,male,22,0,0,324669,8.05,,S
670,male,19,0,0,323951,8.05,,S
671,male,26,0,0,347068,7.775,,S
672,male,22,0,0,PP 4348,9.35,,S
673,male,,0,0,2622,7.2292,,C
674,male,20,0,0,2648,4.0125,,C
675,male,32,0,0,1601,56.4958,,S
676,male,21,0,0,312992,7.775,,S
677,male,18,0,0,347090,7.75,,S
678,male,26,0,0,349224,7.8958,,S
679,male,6,1,1,2678,15.2458,,C
680,female,9,1,1,2678,15.2458,,C
681,male,,0,0,2664,7.225,,C
682,female,,0,2,2678,15.2458,,C
683,female,,0,2,364848,7.75,,Q
684,male,40,1,1,364849,15.5,,Q
685,female,32,1,1,364849,15.5,,Q
686,male,21,0,0,54636,16.1,,S
687,female,22,0,0,334914,7.725,,Q
688,female,20,0,0,347471,7.8542,,S
689,male,29,1,0,3460,7.0458,,S
690,male,22,1,0,A/5 21171,7.25,,S
691,male,22,0,0,350045,7.7958,,S
692,male,35,0,0,364512,8.05,,S
693,female,18.5,0,0,329944,7.2833,,Q
694,male,21,0,0,330920,7.8208,,Q
695,male,19,0,0,365222,6.75,,Q
696,female,18,0,0,330963,7.8792,,Q
697,female,21,0,0,315087,8.6625,,S
698,female,30,0,0,315084,8.6625,,S
699,male,18,0,0,315091,8.6625,,S
700,male,38,0,0,315089,8.6625,,S
701,male,17,0,0,315093,8.6625,,S
702,male,17,0,0,315086,8.6625,,S
703,female,21,0,0,364846,7.75,,Q
704,male,21,0,0,364858,7.75,,Q
705,male,21,0,0,A./5. 2152,8.05,,S
706,male,,1,0,2689,14.4583,,C
707,female,,1,0,2689,14.4583,,C
708,male,28,0,0,350042,7.7958,,S
709,male,24,0,0,350409,7.8542,,S
710,female,16,0,0,367231,7.75,,Q
711,female,37,0,0,368364,7.75,,Q
712,male,28,0,0,392095,7.25,,S
713,male,24,0,0,343275,8.05,,S
714,male,21,0,0,A/5. 13032,7.7333,,Q
715,male,32,0,0,1601,56.4958,,S
716,male,29,0,0,343276,8.05,,S
717,male,26,1,0,2680,14.4542,,C
718,male,18,1,0,2680,14.4542,,C
719,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S
720,male,18,0,0,A/5 3540,8.05,,S
721,male,24,0,0,371109,7.25,,Q
722,male,36,0,0,349210,7.4958,,S
723,male,24,0,0,349209,7.4958,,S
724,male,31,0,0,21332,7.7333,,Q
725,male,31,0,0,335097,7.75,,Q
726,female,22,0,0,370373,7.75,,Q
727,female,30,0,0,330972,7.6292,,Q
728,male,70.5,0,0,370369,7.75,,Q
729,male,43,0,0,A/5 3536,8.05,,S
730,male,35,0,0,349230,7.8958,,S
731,male,27,0,0,349229,7.8958,,S
732,male,19,0,0,349231,7.8958,,S
733,male,30,0,0,SOTON/OQ 392090,8.05,,S
734,male,9,1,1,C.A. 37671,15.9,,S
735,male,3,1,1,C.A. 37671,15.9,,S
736,female,36,0,2,C.A. 37671,15.9,,S
737,male,59,0,0,364500,7.25,,S
738,male,19,0,0,S.P. 3464,8.1583,,S
739,female,17,0,1,371362,16.1,,S
740,male,44,0,1,371362,16.1,,S
741,male,17,0,0,315090,8.6625,,S
742,male,22.5,0,0,2698,7.225,,C
743,male,45,0,0,7598,8.05,,S
744,female,22,0,0,7552,10.5167,,S
745,male,19,0,0,349228,10.1708,,S
746,female,30,0,0,382650,6.95,,Q
747,male,29,0,0,382651,7.75,,Q
748,male,0.3333,0,2,347080,14.4,,S
749,male,34,1,1,347080,14.4,,S
750,female,28,1,1,347080,14.4,,S
751,male,27,0,0,349219,7.8958,,S
752,male,25,0,0,349203,7.8958,,S
753,male,24,2,0,A/4 48871,24.15,,S
754,male,22,0,0,SC/A4 23568,8.05,,S
755,male,21,2,0,A/4 48871,24.15,,S
756,male,17,2,0,A/4 48873,8.05,,S
757,male,,1,0,386525,16.1,,S
758,female,,1,0,386525,16.1,,S
759,male,36.5,1,0,345572,17.4,,S
760,female,36,1,0,345572,17.4,,S
761,male,30,0,0,345774,9.5,,S
762,male,16,0,0,345778,9.5,,S
763,male,1,1,2,C.A. 2315,20.575,,S
764,female,0.1667,1,2,C.A. 2315,20.575,,S
765,male,26,1,2,C.A. 2315,20.575,,S
766,female,33,1,2,C.A. 2315,20.575,,S
767,male,25,0,0,349250,7.8958,,S
768,male,,0,0,349238,7.8958,,S
769,male,,0,0,349225,7.8958,,S
770,male,22,0,0,A/5 21172,7.25,,S
771,male,36,0,0,A/5 21175,7.25,,S
772,female,19,0,0,330958,7.8792,,Q
773,male,17,0,0,349232,7.8958,,S
774,male,42,0,0,315088,8.6625,,S
775,male,43,0,0,349226,7.8958,,S
776,male,,0,0,2686,7.2292,,C
777,male,32,0,0,370376,7.75,,Q
778,male,19,0,0,A/5. 10482,8.05,,S
779,female,30,0,0,364516,12.475,,S
780,female,24,0,0,368702,7.75,,Q
781,female,23,0,0,SOTON/OQ 392083,8.05,,S
782,male,33,0,0,349241,7.8958,,C
783,male,65,0,0,336439,7.75,,Q
784,male,24,0,0,S.O./P.P. 752,7.55,,S
785,male,23,1,0,347072,13.9,,S
786,female,22,1,0,347072,13.9,,S
787,male,18,0,0,349912,7.775,,S
788,male,16,0,0,347074,7.775,,S
789,male,45,0,0,347061,6.975,,S
790,male,,0,0,2674,7.225,,C
791,male,39,0,2,2675,7.2292,,C
792,male,17,1,1,2690,7.2292,,C
793,male,15,1,1,2695,7.2292,,C
794,male,47,0,0,A/5 3902,7.25,,S
795,female,5,0,0,364516,12.475,,S
796,male,,0,0,2631,7.225,,C
797,male,40.5,0,0,C.A. 6212,15.1,,S
798,male,40.5,0,0,367232,7.75,,Q
799,male,,0,0,SOTON/O.Q. 3101308,7.05,,S
800,male,18,0,0,350036,7.7958,,S
801,female,,0,0,364859,7.75,,Q
802,male,,0,0,364851,7.75,,Q
803,male,,0,0,368323,6.95,,Q
804,male,26,0,0,330910,7.8792,,Q
805,male,,0,0,365235,7.75,,Q
806,male,,0,0,1601,56.4958,,S
807,female,21,2,2,W./C. 6608,34.375,,S
808,female,9,2,2,W./C. 6608,34.375,,S
809,male,,0,0,A/5 1478,8.05,,S
810,male,18,2,2,W./C. 6608,34.375,,S
811,male,16,1,3,W./C. 6608,34.375,,S
812,female,48,1,3,W./C. 6608,34.375,,S
813,male,,0,0,368573,7.75,,Q
814,male,,0,0,SOTON/O.Q. 3101314,7.25,,S
815,male,25,0,0,36864,7.7417,,Q
816,male,,0,0,358585,14.5,,S
817,male,,0,0,349254,7.8958,,C
818,male,22,0,0,14973,8.05,,S
819,female,16,0,0,35851,7.7333,,Q
820,female,,0,0,335677,7.75,,Q
821,male,9,0,2,363291,20.525,,S
822,male,33,1,1,363291,20.525,,S
823,male,41,0,0,SOTON/O.Q. 3101263,7.85,,S
824,female,31,1,1,363291,20.525,,S
825,male,38,0,0,SOTON/O.Q. 3101306,7.05,,S
826,male,9,5,2,CA 2144,46.9,,S
827,male,1,5,2,CA 2144,46.9,,S
828,male,11,5,2,CA 2144,46.9,,S
829,female,10,5,2,CA 2144,46.9,,S
830,female,16,5,2,CA 2144,46.9,,S
831,male,14,5,2,CA 2144,46.9,,S
832,male,40,1,6,CA 2144,46.9,,S
833,female,43,1,6,CA 2144,46.9,,S
834,male,51,0,0,21440,8.05,,S
835,male,32,0,0,8471,8.3625,,S
836,male,,0,0,376563,8.05,,S
837,male,20,0,0,7534,9.8458,,S
838,male,37,2,0,3101276,7.925,,S
839,male,28,2,0,3101277,7.925,,S
840,male,19,0,0,347069,7.775,,S
841,female,24,0,0,349236,8.85,,S
842,female,17,0,0,AQ/3. 30631,7.7333,,Q
843,male,,1,0,65303,19.9667,,S
844,male,,1,0,65304,19.9667,,S
845,male,28,1,0,STON/O2. 3101279,15.85,,S
846,female,24,1,0,STON/O2. 3101279,15.85,,S
847,male,20,0,0,345769,9.5,,S
848,male,23.5,0,0,2693,7.2292,,C
849,male,41,2,0,350026,14.1083,,S
850,male,26,1,0,350025,7.8542,,S
851,male,21,0,0,350029,7.8542,,S
852,female,45,1,0,350026,14.1083,,S
853,female,,0,0,W./C. 6609,7.55,,S
854,male,25,0,0,374887,7.25,,S
855,male,,0,0,394140,6.8583,,Q
856,male,11,0,0,2699,18.7875,,C
857,female,,0,0,370375,7.75,,Q
858,male,27,0,0,347089,6.975,,S
859,male,,0,0,1601,56.4958,,S
860,female,18,0,0,365226,6.75,,Q
861,female,26,0,0,STON/O2. 3101282,7.925,,S
862,female,23,0,0,STON/O2. 3101290,7.925,,S
863,female,22,0,0,7548,8.9625,,S
864,male,28,0,0,349243,7.8958,,S
865,female,28,0,0,347086,7.775,,S
866,female,,0,0,382649,7.75,,Q
867,female,2,0,1,3101298,12.2875,,S
868,female,22,1,1,3101298,12.2875,,S
869,male,43,0,0,C 7075,6.45,,S
870,male,28,0,0,C 4001,22.525,,S
871,female,27,0,0,STON/O2. 3101283,7.925,,S
872,male,,0,0,370377,7.75,,Q
873,female,,0,0,A. 2. 39186,8.05,,S
874,male,42,0,0,348121,7.65,F G63,S
875,male,,0,0,3470,7.8875,,S
876,male,30,0,0,2685,7.2292,,C
877,male,,0,0,349220,7.8958,,S
878,female,27,1,0,STON/O2. 3101270,7.925,,S
879,female,25,1,0,STON/O2. 3101271,7.925,,S
880,male,,0,0,349201,7.8958,,S
881,male,29,0,0,349240,7.8958,,C
882,male,21,0,0,350034,7.7958,,S
883,male,,0,0,SOTON/O.Q. 3101305,7.05,,S
884,male,20,0,0,350050,7.8542,,S
885,male,48,0,0,350047,7.8542,,S
886,male,17,1,0,350048,7.0542,,S
887,female,,0,0,14313,7.75,,Q
888,male,,0,0,65306,8.1125,,S
889,male,34,0,0,3101264,6.4958,,S
890,male,26,0,0,347070,7.775,,S
891,male,22,0,0,350052,7.7958,,S
892,male,33,0,0,7540,8.6542,,S
893,male,31,0,0,347063,7.775,,S
894,male,29,0,0,347467,7.8542,,S
895,male,4,1,1,347742,11.1333,,S
896,female,1,1,1,347742,11.1333,,S
897,male,49,0,0,LINE,0,,S
898,male,33,0,0,347062,7.775,,S
899,male,19,0,0,LINE,0,,S
900,female,27,0,2,347742,11.1333,,S
901,male,,1,2,W./C. 6607,23.45,,S
902,female,,1,2,W./C. 6607,23.45,,S
903,male,,1,2,W./C. 6607,23.45,,S
904,female,,1,2,W./C. 6607,23.45,,S
905,male,23,0,0,349204,7.8958,,S
906,male,32,0,0,350417,7.8542,,S
907,male,27,0,0,350408,7.8542,,S
908,female,20,1,0,4136,9.825,,S
909,female,21,1,0,4137,9.825,,S
910,male,32,0,0,STON/O 2. 3101286,7.925,,S
911,male,17,0,0,STON/O 2. 3101274,7.125,,S
912,male,21,0,0,8475,8.4333,,S
913,male,30,0,0,349246,7.8958,,S
914,male,21,0,0,350053,7.7958,,S
915,male,33,0,0,347465,7.8542,,S
916,male,22,0,0,350060,7.5208,,S
917,female,4,0,1,349256,13.4167,,C
918,male,39,0,1,349256,13.4167,,C
919,male,,0,0,2700,7.2292,,C
920,male,18.5,0,0,2682,7.2292,,C
921,male,,0,0,12460,7.75,,Q
922,male,,0,0,323592,7.25,,S
923,female,,0,0,9234,7.75,,Q
924,female,,0,0,14312,7.75,,Q
925,male,34.5,0,0,330911,7.8292,,Q
926,male,44,0,0,363592,8.05,,S
927,male,,0,0,368783,7.75,,Q
928,male,,1,0,2660,14.4542,,C
929,female,,1,0,2660,14.4542,,C
930,male,,1,0,367227,7.75,,Q
931,male,,1,0,367229,7.75,,Q
932,male,,0,0,36865,7.7375,,Q
933,female,22,2,0,315152,8.6625,,S
934,male,26,2,0,315151,8.6625,,S
935,female,4,0,2,315153,22.025,,S
936,male,29,3,1,315153,22.025,,S
937,female,26,1,1,315153,22.025,,S
938,female,1,1,1,350405,12.1833,,S
939,male,18,1,1,350404,7.8542,,S
940,female,36,0,2,350405,12.1833,,S
941,male,,0,0,349253,7.8958,,C
942,male,25,0,0,2654,7.2292,F E57,C
943,male,,0,0,2624,7.225,,C
944,female,37,0,0,4135,9.5875,,S
945,male,,0,0,349217,7.8958,,S
946,male,,0,0,1601,56.4958,,S
947,male,,0,0,1601,56.4958,,S
948,female,22,0,0,C 7077,7.25,,S
949,male,,0,0,7935,7.75,,Q
950,male,26,0,0,1601,56.4958,,S
951,male,29,0,0,7545,9.4833,,S
952,male,29,0,0,347067,7.775,,S
953,male,22,0,0,347065,7.775,,S
954,male,22,0,0,2620,7.225,,C
955,male,,3,1,4133,25.4667,,S
956,female,,3,1,4133,25.4667,,S
957,female,,3,1,4133,25.4667,,S
958,female,,3,1,4133,25.4667,,S
959,female,,0,4,4133,25.4667,,S
960,male,32,0,0,STON/O 2. 3101292,7.925,,S
961,male,34.5,0,0,2683,6.4375,,C
962,female,,1,0,370371,15.5,,Q
963,male,,1,0,370371,15.5,,Q
964,male,36,0,0,LINE,0,,S
965,male,39,0,0,A/4 48871,24.15,,S
966,male,24,0,0,345781,9.5,,S
967,female,25,0,0,347071,7.775,,S
968,female,45,0,0,347073,7.75,,S
969,male,36,1,0,349910,15.55,,S
970,female,30,1,0,349910,15.55,,S
971,male,20,1,0,STON/O 2. 3101285,7.925,,S
972,male,,0,0,330971,7.8792,,Q
973,male,28,0,0,1601,56.4958,,S
974,male,,0,0,S.O./P.P. 251,7.55,,S
975,male,30,1,0,A/5. 3336,16.1,,S
976,female,26,1,0,A/5. 3336,16.1,,S
977,male,,0,0,1222,7.8792,,S
978,male,20.5,0,0,A/5 21173,7.25,,S
979,male,27,0,0,315098,8.6625,,S
980,male,51,0,0,347743,7.0542,,S
981,female,23,0,0,347469,7.8542,,S
982,male,32,0,0,350403,7.5792,,S
983,male,,0,0,349235,7.8958,,S
984,male,,0,0,C.A. 42795,7.55,,S
985,female,,0,0,370370,7.75,,Q
986,male,24,0,0,C 17369,7.1417,,S
987,male,22,0,0,STON/O 2. 3101275,7.125,,S
988,female,,0,0,330924,7.8792,,Q
989,male,,0,0,AQ/4 3130,7.75,,Q
990,male,,0,0,A/S 2816,8.05,,S
991,male,29,0,0,STON/O 2. 3101268,7.925,,S
992,male,,0,0,2677,7.2292,,C
993,female,30.5,0,0,364850,7.75,,Q
994,female,,0,0,36866,7.7375,,Q
995,male,,0,0,2655,7.2292,F E46,C
996,male,35,0,0,349213,7.8958,,C
997,male,33,0,0,349257,7.8958,,S
998,female,,0,0,2649,7.225,,C
999,male,,0,0,349255,7.8958,,C
1000,female,,0,0,383123,7.75,,Q
1001,male,,0,0,367228,7.75,,Q
1002,female,,2,0,367226,23.25,,Q
1003,female,,2,0,367226,23.25,,Q
1004,male,,2,0,367226,23.25,,Q
1005,female,,0,0,330932,7.7875,,Q
1006,male,,0,0,36568,15.5,,Q
1007,female,,0,0,330931,7.8792,,Q
1008,female,15,0,0,330923,8.0292,,Q
1009,female,35,0,0,9232,7.75,,Q
1010,male,,0,0,370372,7.75,,Q
1011,male,24,1,0,376566,16.1,,S
1012,female,19,1,0,376566,16.1,,S
1013,female,,0,0,370368,7.75,,Q
1014,female,,0,0,SOTON/O.Q. 392087,8.05,,S
1015,female,,0,0,343095,8.05,,S
1016,male,55.5,0,0,A.5. 11206,8.05,,S
1017,male,,0,0,368703,7.75,,Q
1018,male,21,0,0,345501,7.775,,S
1019,male,,0,0,359306,8.05,,S
1020,male,24,0,0,349233,7.8958,,S
1021,male,21,0,0,349211,7.8958,,S
1022,male,28,0,0,349207,7.8958,,S
1023,male,,0,0,349221,7.8958,,S
1024,female,,0,0,330980,7.8792,,Q
1025,male,25,0,0,348123,7.65,F G73,S
1026,male,6,0,1,392096,12.475,E121,S
1027,female,27,0,1,392096,12.475,E121,S
1028,male,,0,0,A4. 54510,8.05,,S
1029,female,,1,0,371110,24.15,,Q
1030,male,,1,0,371110,24.15,,Q
1031,male,,0,0,330877,8.4583,,Q
1032,male,34,0,0,364506,8.05,,S
1033,male,,0,0,372622,7.75,,Q
1034,male,,0,0,312991,7.775,,S
1035,male,,1,1,2661,15.2458,,C
1036,male,,1,1,2661,15.2458,,C
1037,female,,0,2,2661,15.2458,,C
1038,female,,0,0,2626,7.2292,,C
1039,male,,0,0,374746,8.05,,S
1040,female,,0,0,35852,7.7333,,Q
1041,female,24,0,0,382653,7.75,,Q
1042,male,,0,0,A./5. 3235,8.05,,S
1043,female,,1,0,367230,15.5,,Q
1044,female,,1,0,367230,15.5,,Q
1045,female,,0,0,36568,15.5,,Q
1046,male,18,0,0,347078,7.75,,S
1047,male,22,0,0,349206,7.8958,,S
1048,female,15,0,0,2667,7.225,,C
1049,female,1,0,2,2653,15.7417,,C
1050,male,20,1,1,2653,15.7417,,C
1051,female,19,1,1,2653,15.7417,,C
1052,male,33,0,0,A./5. 3338,8.05,,S
1053,male,,0,0,349218,7.8958,,S
1054,male,,0,0,2652,7.2292,,C
1055,female,,0,0,365237,7.75,,Q
1056,male,,0,0,349234,7.8958,,S
1057,male,12,1,0,2651,11.2417,,C
1058,female,14,1,0,2651,11.2417,,C
1059,female,29,0,0,3101297,7.925,,S
1060,male,28,0,0,363611,8.05,,S
1061,female,18,0,0,347066,7.775,,S
1062,female,26,0,0,347470,7.8542,,S
1063,male,21,0,0,350410,7.8542,,S
1064,male,41,0,0,SOTON/O2 3101272,7.125,,S
1065,male,39,0,0,STON/O 2. 3101289,7.925,,S
1066,male,21,0,0,A/4. 39886,7.8,,S
1067,male,28.5,0,0,2697,7.2292,,C
1068,female,22,0,0,347081,7.75,,S
1069,male,61,0,0,345364,6.2375,,S
1070,male,,1,0,370365,15.5,,Q
1071,male,,0,0,330979,7.8292,,Q
1072,female,,1,0,370365,15.5,,Q
1073,male,,0,0,334912,7.7333,,Q
1074,male,,0,0,371060,7.75,,Q
1075,male,,0,0,366713,7.75,,Q
1076,male,23,0,0,7267,9.225,,S
1077,female,,0,0,364856,7.75,,Q
1078,female,,0,0,14311,7.75,,Q
1079,female,,0,0,330959,7.8792,,Q
1080,female,22,0,0,347085,7.775,,S
1081,male,,0,0,368402,7.75,,Q
1082,female,,0,0,330919,7.8292,,Q
1083,male,9,0,1,C 17368,3.1708,,S
1084,male,28,0,0,C 4001,22.525,,S
1085,male,42,0,1,4579,8.4042,,S
1086,male,,0,0,Fa 265302,7.3125,,S
1087,female,31,0,0,350407,7.8542,,S
1088,male,28,0,0,347464,7.8542,,S
1089,male,32,0,0,347079,7.775,,S
1090,male,20,0,0,6563,9.225,,S
1091,female,23,0,0,315085,8.6625,,S
1092,female,20,0,0,315096,8.6625,,S
1093,male,20,0,0,315094,8.6625,,S
1094,male,16,0,0,7534,9.2167,,S
1095,female,31,0,0,349244,8.6833,,S
1096,female,,0,0,330909,7.6292,,Q
1097,male,2,3,1,349909,21.075,,S
1098,male,6,3,1,349909,21.075,,S
1099,female,3,3,1,349909,21.075,,S
1100,female,8,3,1,349909,21.075,,S
1101,female,29,0,4,349909,21.075,,S
1102,male,1,4,1,3101295,39.6875,,S
1103,male,7,4,1,3101295,39.6875,,S
1104,male,2,4,1,3101295,39.6875,,S
1105,male,16,4,1,3101295,39.6875,,S
1106,male,14,4,1,3101295,39.6875,,S
1107,female,41,0,5,3101295,39.6875,,S
1108,male,21,0,0,315097,8.6625,,S
1109,male,19,0,0,358585,14.5,,S
1110,male,,0,0,3411,8.7125,,C
1111,male,32,0,0,349242,7.8958,,S
1112,male,0.75,1,1,SOTON/O.Q. 3101315,13.775,,S
1113,female,3,1,1,SOTON/O.Q. 3101315,13.775,,S
1114,female,26,0,2,SOTON/O.Q. 3101315,13.775,,S
1115,male,,0,0,343271,7,,S
1116,male,,0,0,345498,7.775,,S
1117,male,,0,0,A/5 2817,8.05,,S
1118,male,21,0,0,STON/O 2. 3101294,7.925,,S
1119,male,25,0,0,STON/O 2. 3101291,7.925,,S
1120,male,22,0,0,A/5 21174,7.25,,S
1121,male,25,1,0,347083,7.775,,S
1122,male,,1,1,2668,22.3583,,C
1123,female,,1,1,2668,22.3583,F E69,C
1124,female,,0,2,2668,22.3583,,C
1125,female,,0,0,330935,8.1375,,Q
1126,male,24,0,0,342441,8.05,,S
1127,female,28,0,0,349245,7.8958,,S
1128,male,19,0,0,349212,7.8958,,S
1129,male,,0,0,349215,7.8958,,S
1130,male,25,1,0,347076,7.775,,S
1131,female,18,0,0,347087,7.775,,S
1132,male,32,0,0,SOTON/O.Q. 392078,8.05,E10,S
1133,male,,0,0,349227,7.8958,,S
1134,male,17,0,0,315095,8.6625,,S
1135,male,24,0,0,315092,8.6625,,S
1136,male,,0,0,349223,7.8958,,S
1137,female,,0,0,65305,8.1125,,S
1138,male,,0,0,2629,7.2292,,C
1139,male,,0,0,362316,7.25,,S
1140,male,38,0,0,349249,7.8958,,S
1141,male,21,0,0,342684,8.05,,S
1142,male,10,4,1,382652,29.125,,Q
1143,male,4,4,1,382652,29.125,,Q
1144,male,7,4,1,382652,29.125,,Q
1145,male,2,4,1,382652,29.125,,Q
1146,male,8,4,1,382652,29.125,,Q
1147,female,39,0,5,382652,29.125,,Q
1148,female,22,0,0,3101295,39.6875,,S
1149,male,35,0,0,STON/O 2. 3101273,7.125,,S
1150,female,,0,0,334915,7.7208,,Q
1151,male,,0,0,364498,14.5,,S
1152,female,,0,0,364498,14.5,,S
1153,male,50,1,0,A/5. 3337,14.5,,S
1154,female,47,1,0,A/5. 3337,14.5,,S
1155,male,,0,0,S.C./A.4. 23567,8.05,,S
1156,male,,0,0,312993,7.775,,S
1157,female,2,1,1,370129,20.2125,,S
1158,male,18,1,1,370129,20.2125,,S
1159,female,41,0,2,370129,20.2125,,S
1160,female,,0,0,342712,8.05,,S
1161,male,50,0,0,A/5 3594,8.05,,S
1162,male,16,0,0,A/4. 20589,8.05,,S
1163,male,,0,0,383162,7.75,,Q
1164,male,,0,0,371110,24.15,,Q
1165,male,,0,0,2671,7.2292,,C
1166,male,25,0,0,2672,7.225,,C
1167,male,,0,0,2676,7.225,,C
1168,male,,0,0,367655,7.7292,,Q
1169,male,,0,0,LP 1588,7.575,,S
1170,male,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S
1171,male,,8,2,CA. 2343,69.55,,S
1172,male,14.5,8,2,CA. 2343,69.55,,S
1173,female,,8,2,CA. 2343,69.55,,S
1174,female,,8,2,CA. 2343,69.55,,S
1175,female,,8,2,CA. 2343,69.55,,S
1176,female,,8,2,CA. 2343,69.55,,S
1177,male,,8,2,CA. 2343,69.55,,S
1178,male,,8,2,CA. 2343,69.55,,S
1179,male,,8,2,CA. 2343,69.55,,S
1180,male,,1,9,CA. 2343,69.55,,S
1181,female,,1,9,CA. 2343,69.55,,S
1182,male,24,0,0,7266,9.325,,S
1183,female,21,0,0,343120,7.65,,S
1184,male,39,0,0,3101296,7.925,,S
1185,male,,2,0,2662,21.6792,,C
1186,male,,2,0,2662,21.6792,,C
1187,male,,2,0,2662,21.6792,,C
1188,female,1,1,1,PP 9549,16.7,G6,S
1189,female,24,0,2,PP 9549,16.7,G6,S
1190,female,4,1,1,PP 9549,16.7,G6,S
1191,male,25,0,0,345768,9.5,,S
1192,male,20,0,0,A/5. 2151,8.05,,S
1193,male,24.5,0,0,342826,8.05,,S
1194,male,,0,0,36209,7.725,,Q
1195,male,,0,0,349222,7.8958,,S
1196,male,,0,0,370374,7.75,,Q
1197,male,29,0,0,345779,9.5,,S
1198,male,,0,0,C.A. 6212,15.1,,S
1199,female,,0,0,330968,7.7792,,Q
1200,male,,0,0,374910,8.05,,S
1201,male,,0,0,SOTON/OQ 392082,8.05,,S
1202,male,22,0,0,2669,7.2292,,C
1203,male,,0,0,392092,8.05,,S
1204,male,40,0,0,349251,7.8958,,S
1205,male,21,0,0,STON/O 2. 3101280,7.925,,S
1206,female,18,0,0,3101265,7.4958,,S
1207,male,4,3,2,347088,27.9,,S
1208,male,10,3,2,347088,27.9,,S
1209,female,9,3,2,347088,27.9,,S
1210,female,2,3,2,347088,27.9,,S
1211,male,40,1,4,347088,27.9,,S
1212,female,45,1,4,347088,27.9,,S
1213,male,,0,0,349214,7.8958,,S
1214,male,,0,0,SOTON/OQ 392086,8.05,,S
1215,male,,0,0,315037,8.6625,,S
1216,male,,0,0,384461,7.75,,Q
1217,female,,0,0,335432,7.7333,,Q
1218,male,19,0,0,348124,7.65,F G73,S
1219,male,30,0,0,A.5. 18509,8.05,,S
1220,male,,0,0,A.5. 3236,8.05,,S
1221,male,32,0,0,STON/OQ. 369943,8.05,,S
1222,male,,0,0,349208,7.8958,,S
1223,male,33,0,0,349239,8.6625,,C
1224,female,23,0,0,CA. 2314,7.55,,S
1225,male,21,0,0,A/4 45380,8.05,,S
1226,male,60.5,0,0,3701,,,S
1227,male,19,0,0,349205,7.8958,,S
1228,female,22,0,0,7553,9.8375,,S
1229,male,31,0,0,STON/O 2. 3101288,7.925,,S
1230,male,27,0,0,315083,8.6625,,S
1231,female,2,0,1,347054,10.4625,G6,S
1232,female,29,1,1,347054,10.4625,G6,S
1233,male,16,0,0,SOTON/OQ 392089,8.05,,S
1234,male,44,0,0,STON/O 2. 3101269,7.925,,S
1235,male,25,0,0,SOTON/OQ 392076,7.05,,S
1236,male,74,0,0,347060,7.775,,S
1237,male,14,0,0,7538,9.225,,S
1238,male,24,0,0,350035,7.7958,,S
1239,male,25,0,0,350033,7.7958,,S
1240,male,34,0,0,363294,8.05,,S
1241,male,0.4167,0,1,2625,8.5167,,C
1242,male,,1,0,2621,6.4375,,C
1243,male,,0,0,2681,6.4375,,C
1244,male,,0,0,2684,7.225,,C
1245,female,16,1,1,2625,8.5167,,C
1246,male,,0,0,32302,8.05,,S
1247,male,,1,0,376564,16.1,,S
1248,female,,1,0,376564,16.1,,S
1249,male,32,0,0,STON/O 2. 3101293,7.925,,S
1250,male,,0,0,383121,7.75,F38,Q
1251,male,,0,0,349216,7.8958,,S
1252,male,30.5,0,0,364499,8.05,,S
1253,male,44,0,0,364511,8.05,,S
1254,male,,0,0,2673,7.2292,,C
1255,male,25,0,0,LINE,0,,S
1256,male,,0,0,2641,7.2292,,C
1257,male,7,1,1,2650,15.2458,,C
1258,female,9,1,1,2650,15.2458,,C
